OSD.latitude,OSD.longitude,OSD.height [ft],OSD.pitch,OSD.yaw [360],GIMBAL.pitch
13.19379107,-59.64192998,14.4,-2.5,91.4,-27.9
13.19379117,-59.64193024,15.4,-2.1,91.5,-27.9
13.19379119,-59.64193027,16,-2.3,91.4,-27.9
13.19379121,-59.64193038,17,-2.2,91.3,-27.9
13.19379123,-59.64193041,18,-2.7,91.4,-27.9
13.19379093,-59.64193047,18.7,-2.9,91.3,-27.9
13.19379092,-59.64193053,19.3,-3.6,91.4,-27.9
13.19379072,-59.64193051,19.6,-4.2,91.4,-27.9
13.19379066,-59.64193057,20.3,-4.7,91.4,-27.9
13.19379077,-59.64193045,20.3,-4.3,91.5,-27.9
13.19379076,-59.64193045,20.6,-3.2,91.4,-27.9
13.19379094,-59.64193026,20.9,-4,91.3,-27.9
13.19379102,-59.64193017,21.6,-5,91.4,-27.9
13.19379098,-59.64193038,21.6,-5.1,91.5,-27.9
13.193791,-59.64193035,21.9,-3,91.5,-27.9
13.1937913,-59.64193025,22.3,-1.6,91.4,-27.9
13.19379137,-59.64193024,22.3,-3.4,91.3,-27.9
13.19379128,-59.64192998,22.9,-5.6,91.3,-27.9
13.19379129,-59.64192991,23.2,-4.4,91.4,-27.9
13.19379113,-59.6419296,23.6,-3.4,91.2,-27.9
13.1937911,-59.64192946,24.2,-2,91.4,-27.9
13.19379088,-59.64192972,24.6,-2.7,91.7,-27.9
13.19379083,-59.64192973,25.2,-6.4,91.5,-27.9
13.19379062,-59.6419298,25.5,-5.7,91.5,-27.8
13.19379054,-59.64192979,25.9,-3.2,91.5,-27.3
13.19379042,-59.64192977,25.9,-3.4,91.5,-26.4
13.19379035,-59.64192978,26.2,-3.1,91.4,-25.3
13.19379005,-59.6419298,26.2,-3.7,91.6,-24.1
13.19378994,-59.64192982,26.2,-4.8,91.6,-22.9
13.19378989,-59.64192971,26.2,-4.4,91.5,-21.7
13.19378984,-59.64192967,26.2,-4,91.6,-20.8
13.19378992,-59.64192984,26.2,-5.1,91.7,-20.3
13.19378993,-59.64192981,26.2,-4.8,91.6,-20.5
13.19379,-59.64192989,26.2,-3.7,91.4,-21.2
13.19379007,-59.64192989,26.2,-4.1,91.3,-22.3
13.19379015,-59.64193002,26.2,-4.5,91.3,-23.4
13.19379028,-59.64193005,26.2,-5.1,91.2,-24.7
13.1937905,-59.64193026,26.2,-6.4,91.3,-25.9
13.1937907,-59.64193027,26.2,-6,91.6,-27.1
13.19379091,-59.64193048,26.2,-4,91.4,-28.4
13.19379101,-59.64193051,26.2,-4.1,91.1,-29.6
13.19379103,-59.6419303,26.2,-5.2,91.1,-30.9
13.19379113,-59.64193028,26.2,-5.2,91.2,-32.1
