OSD.latitude,OSD.longitude,OSD.height [ft],OSD.pitch,OSD.yaw [360],GIMBAL.pitch
13.19397496,-59.64128887,20,8.6,173.5,-28.6
13.19397625,-59.6412892,20,6.7,173.5,-28.6
13.19397789,-59.64128945,20,3.6,173.5,-28.6
13.1939796,-59.64128974,20,0.2,173.5,-28.6
13.19398135,-59.64129001,20,-1.3,173.6,-28.7
13.19398277,-59.64129013,20,-0.4,173.5,-28.7
13.1939841,-59.64129028,20,0.2,173.5,-28.6
13.19398539,-59.64129053,20,-0.2,173.4,-28.6
13.19398691,-59.6412907,20,-0.2,173.5,-28.6
13.19398826,-59.641291,20,-0.2,173.4,-28.6
13.19398943,-59.6412912,20,0,173.4,-28.6
13.19399075,-59.64129151,20,-0.1,173.4,-28.6
13.19399202,-59.64129182,20,-0.7,173.6,-28.6
13.19399302,-59.6412922,20,-1.6,173.7,-28.6
13.19399421,-59.64129257,20,-8.1,173.7,-28.6
13.19399539,-59.64129273,20,-10.8,173.6,-28.6
13.19399621,-59.64129289,20,-9.8,173.4,-28.6
13.19399679,-59.64129289,20,-8.3,173.4,-28.7
13.19399727,-59.64129292,20,-7.1,173.4,-28.6
13.19399757,-59.64129304,20,-6.1,173.4,-28.6
13.19399785,-59.64129311,20,-5.1,173.4,-28.6
13.19399796,-59.64129319,20,-4.2,173.4,-28.6
13.19399806,-59.64129322,20,-3.3,173.4,-28.6
13.19399811,-59.64129339,20,-2.7,173.4,-28.6
13.19399813,-59.64129343,20,-2.2,173.5,-28.6
13.19399814,-59.64129357,20,-1.9,173.4,-28.6
13.19399812,-59.64129361,20,-1.8,173.4,-28.6
13.19399825,-59.64129361,20,-1.6,173.5,-28.6
13.19399824,-59.64129364,20,-1.3,173.5,-28.6
13.19399822,-59.6412936,20,-1,173.5,-28.6
13.19399819,-59.64129362,20,-0.7,173.5,-28.6
13.19399821,-59.64129363,20,-0.5,173.5,-28.6
13.19399816,-59.64129362,20,-0.1,173.5,-28.6
13.19399821,-59.64129369,20,0.2,173.6,-28.6
13.19399824,-59.64129372,20,-0.1,173.6,-28.6
13.19399823,-59.64129383,20,-0.8,173.6,-28.6
13.19399825,-59.64129386,20,-1.3,173.6,-28.6
13.19399829,-59.64129389,20,-1.3,173.7,-28.6
13.19399828,-59.64129392,20,-0.7,173.7,-28.7
13.19399828,-59.64129402,20,-0.5,173.7,-28.6
13.19399828,-59.64129404,20,-0.7,173.6,-28.6
13.19399827,-59.6412941,20,-1,173.5,-28.6
13.19399829,-59.64129412,20,-1.2,173.5,-28.6
13.19399832,-59.64129411,20,-1.2,173.5,-28.6
13.19399832,-59.64129409,20,-0.8,173.4,-28.7
13.19399834,-59.64129417,20,-0.9,173.4,-28.6
13.19399834,-59.64129416,20,-1.4,173.4,-28.6
13.19399834,-59.64129418,20,-1.1,173.3,-28.7
13.19399833,-59.64129421,20,-0.5,173.2,-28.7
13.19399836,-59.64129416,20,-0.7,173.3,-28.6
13.19399837,-59.64129412,20,-0.8,173.4,-28.7
13.19399846,-59.64129418,20,-0.1,173.4,-28.7
13.19399849,-59.64129419,20,-0.4,173.3,-28.6
